Pot,Manip,Area,Scenario,Sowing,Harvesting
1,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
2,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
3,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
4,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
5,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
6,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
7,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
8,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
9,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
10,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
11,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
12,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
13,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
14,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
15,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
16,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
17,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
18,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
19,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
20,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
21,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
22,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
23,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
24,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
25,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
26,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
27,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
28,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
29,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
30,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
31,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
32,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
33,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
34,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
35,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
36,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
37,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
38,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
39,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
40,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
41,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
42,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
43,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
44,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
45,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
46,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
47,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
48,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
49,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
50,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
51,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
52,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
53,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
54,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
55,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
56,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
57,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
58,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
59,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
60,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
61,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
62,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
63,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
64,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
65,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
66,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
67,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
68,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
69,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
70,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
71,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
72,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
73,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
74,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
75,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
76,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
77,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
78,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
79,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
80,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
81,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
82,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
83,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
84,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
85,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
86,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
87,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
88,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
89,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
90,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
91,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
92,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
93,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
94,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
95,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
96,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
97,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
98,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
99,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
100,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
101,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
102,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
103,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
104,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
105,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
106,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
107,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
108,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
109,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
110,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
111,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
112,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
113,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
114,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
115,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
116,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
117,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
118,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
119,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
120,ZA13,02_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
121,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
122,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
123,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
124,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
125,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
126,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
127,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
128,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
129,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
130,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
131,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
132,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
133,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
134,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
135,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
136,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
137,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
138,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
139,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
140,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
141,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
142,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
143,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
144,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
145,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
146,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
147,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
148,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
149,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
150,ZA13,01_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
151,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
152,ZA13,04_p,WW,2013-01-24T12:00:00+01:00,2013-03-13T12:00:00+01:00
